"customer_id","first_name","last_name","email","num_rentals"
148,"Eleanor","Hunt","eleanor.hunt@sakilacustomer.org","46"
526,"Karl","Seal","karl.seal@sakilacustomer.org","45"
144,"Clara","Shaw","clara.shaw@sakilacustomer.org","42"
236,"Marcia","Dean","marcia.dean@sakilacustomer.org","42"
75,"Tammy","Sanders","tammy.sanders@sakilacustomer.org","41"
469,"Wesley","Bull","wesley.bull@sakilacustomer.org","40"
197,"Sue","Peters","sue.peters@sakilacustomer.org","40"
137,"Rhonda","Kennedy","rhonda.kennedy@sakilacustomer.org","39"
178,"Marion","Snyder","marion.snyder@sakilacustomer.org","39"
468,"Tim","Cary","tim.cary@sakilacustomer.org","39"
459,"Tommy","Collazo","tommy.collazo@sakilacustomer.org","38"
5,"Elizabeth","Brown","elizabeth.brown@sakilacustomer.org","38"
295,"Daisy","Bates","daisy.bates@sakilacustomer.org","38"
410,"Curtis","Irby","curtis.irby@sakilacustomer.org","38"
366,"Brandon","Huey","brandon.huey@sakilacustomer.org","37"
257,"Marsha","Douglas","marsha.douglas@sakilacustomer.org","37"
198,"Elsie","Kelley","elsie.kelley@sakilacustomer.org","37"
176,"June","Carroll","june.carroll@sakilacustomer.org","37"
29,"Angela","Hernandez","angela.hernandez@sakilacustomer.org","36"
267,"Margie","Wade","margie.wade@sakilacustomer.org","36"
354,"Justin","Ngo","justin.ngo@sakilacustomer.org","36"
439,"Alexander","Fennell","alexander.fennell@sakilacustomer.org","36"
380,"Russell","Brinson","russell.brinson@sakilacustomer.org","36"
348,"Roger","Quintanilla","roger.quintanilla@sakilacustomer.org","36"
21,"Michelle","Clark","michelle.clark@sakilacustomer.org","35"
204,"Rosemary","Schmidt","rosemary.schmidt@sakilacustomer.org","35"
403,"Mike","Way","mike.way@sakilacustomer.org","35"
91,"Lois","Butler","lois.butler@sakilacustomer.org","35"
368,"Harry","Arce","harry.arce@sakilacustomer.org","35"
50,"Diane","Collins","diane.collins@sakilacustomer.org","35"
381,"Bobby","Boudreau","bobby.boudreau@sakilacustomer.org","35"
273,"Priscilla","Lowe","priscilla.lowe@sakilacustomer.org","35"
274,"Naomi","Jennings","naomi.jennings@sakilacustomer.org","35"
506,"Leslie","Seward","leslie.seward@sakilacustomer.org","35"
371,"Billy","Poulin","billy.poulin@sakilacustomer.org","35"
373,"Louis","Leone","louis.leone@sakilacustomer.org","35"
196,"Alma","Austin","alma.austin@sakilacustomer.org","35"
66,"Janice","Ward","janice.ward@sakilacustomer.org","34"
241,"Heidi","Larson","heidi.larson@sakilacustomer.org","34"
129,"Carrie","Porter","carrie.porter@sakilacustomer.org","34"
576,"Morris","Mccarter","morris.mccarter@sakilacustomer.org","34"
207,"Gertrude","Castillo","gertrude.castillo@sakilacustomer.org","34"
566,"Casey","Mena","casey.mena@sakilacustomer.org","34"
168,"Regina","Berry","regina.berry@sakilacustomer.org","34"
502,"Brett","Cornwell","brett.cornwell@sakilacustomer.org","34"
473,"Jorge","Olivares","jorge.olivares@sakilacustomer.org","34"
138,"Hazel","Warren","hazel.warren@sakilacustomer.org","34"
30,"Melissa","King","melissa.king@sakilacustomer.org","34"
239,"Minnie","Romero","minnie.romero@sakilacustomer.org","34"
26,"Jessica","Hall","jessica.hall@sakilacustomer.org","34"
147,"Joanne","Robertson","joanne.robertson@sakilacustomer.org","34"
360,"Ralph","Madrigal","ralph.madrigal@sakilacustomer.org","34"
119,"Sherry","Marshall","sherry.marshall@sakilacustomer.org","34"
46,"Catherine","Campbell","catherine.campbell@sakilacustomer.org","34"
211,"Stacey","Montgomery","stacey.montgomery@sakilacustomer.org","34"
181,"Ana","Bradley","ana.bradley@sakilacustomer.org","34"
372,"Steve","Mackenzie","steve.mackenzie@sakilacustomer.org","34"
38,"Martha","Gonzalez","martha.gonzalez@sakilacustomer.org","34"
462,"Warren","Sherrod","warren.sherrod@sakilacustomer.org","33"
451,"Jim","Rea","jim.rea@sakilacustomer.org","33"
390,"Shawn","Heaton","shawn.heaton@sakilacustomer.org","33"
314,"George","Linton","george.linton@sakilacustomer.org","33"
522,"Arnold","Havens","arnold.havens@sakilacustomer.org","33"
102,"Crystal","Ford","crystal.ford@sakilacustomer.org","33"
533,"Jessie","Milam","jessie.milam@sakilacustomer.org","33"
51,"Alice","Stewart","alice.stewart@sakilacustomer.org","33"
7,"Maria","Miller","maria.miller@sakilacustomer.org","33"
230,"Joy","George","joy.george@sakilacustomer.org","33"
64,"Judith","Cox","judith.cox@sakilacustomer.org","33"
438,"Barry","Lovelace","barry.lovelace@sakilacustomer.org","33"
297,"Sherri","Rhodes","sherri.rhodes@sakilacustomer.org","33"
454,"Alex","Gresham","alex.gresham@sakilacustomer.org","33"
86,"Jacqueline","Long","jacqueline.long@sakilacustomer.org","33"
84,"Sara","Perry","sara.perry@sakilacustomer.org","33"
114,"Grace","Ellis","grace.ellis@sakilacustomer.org","33"
237,"Tanya","Gilbert","tanya.gilbert@sakilacustomer.org","33"
172,"Bernice","Willis","bernice.willis@sakilacustomer.org","33"
362,"Nicholas","Barfield","nicholas.barfield@sakilacustomer.org","32"
209,"Tonya","Chapman","tonya.chapman@sakilacustomer.org","32"
245,"Courtney","Day","courtney.day@sakilacustomer.org","32"
406,"Nathan","Runyon","nathan.runyon@sakilacustomer.org","32"
158,"Veronica","Stone","veronica.stone@sakilacustomer.org","32"
125,"Ethel","Webb","ethel.webb@sakilacustomer.org","32"
28,"Cynthia","Young","cynthia.young@sakilacustomer.org","32"
120,"Sylvia","Ortiz","sylvia.ortiz@sakilacustomer.org","32"
535,"Javier","Elrod","javier.elrod@sakilacustomer.org","32"
306,"Charles","Kowalski","charles.kowalski@sakilacustomer.org","32"
242,"Glenda","Frazier","glenda.frazier@sakilacustomer.org","32"
452,"Tom","Milner","tom.milner@sakilacustomer.org","32"
569,"Dave","Gardiner","dave.gardiner@sakilacustomer.org","32"
35,"Virginia","Green","virginia.green@sakilacustomer.org","32"
550,"Guy","Brownlee","guy.brownlee@sakilacustomer.org","32"
520,"Mitchell","Westmoreland","mitchell.westmoreland@sakilacustomer.org","32"
346,"Arthur","Simpkins","arthur.simpkins@sakilacustomer.org","32"
1,"Mary","Smith","mary.smith@sakilacustomer.org","32"
128,"Marjorie","Tucker","marjorie.tucker@sakilacustomer.org","32"
503,"Angel","Barclay","angel.barclay@sakilacustomer.org","32"
254,"Maxine","Silva","maxine.silva@sakilacustomer.org","32"
89,"Julia","Flores","julia.flores@sakilacustomer.org","32"
244,"Viola","Hanson","viola.hanson@sakilacustomer.org","32"
122,"Thelma","Murray","thelma.murray@sakilacustomer.org","32"
15,"Helen","Harris","helen.harris@sakilacustomer.org","32"
470,"Gordon","Allard","gordon.allard@sakilacustomer.org","32"
405,"Leonard","Schofield","leonard.schofield@sakilacustomer.org","32"
141,"Debbie","Reyes","debbie.reyes@sakilacustomer.org","32"
329,"Frank","Waggoner","frank.waggoner@sakilacustomer.org","32"
442,"Leroy","Bustamante","leroy.bustamante@sakilacustomer.org","32"
532,"Neil","Renner","neil.renner@sakilacustomer.org","32"
259,"Lena","Jensen","lena.jensen@sakilacustomer.org","32"
342,"Harold","Martino","harold.martino@sakilacustomer.org","32"
277,"Olga","Jimenez","olga.jimenez@sakilacustomer.org","32"
167,"Sally","Pierce","sally.pierce@sakilacustomer.org","32"
494,"Ramon","Choate","ramon.choate@sakilacustomer.org","31"
214,"Kristin","Johnston","kristin.johnston@sakilacustomer.org","31"
251,"Vickie","Brewer","vickie.brewer@sakilacustomer.org","31"
393,"Philip","Causey","philip.causey@sakilacustomer.org","31"
279,"Dianne","Shelton","dianne.shelton@sakilacustomer.org","31"
479,"Zachary","Hite","zachary.hite@sakilacustomer.org","31"
293,"Mae","Fletcher","mae.fletcher@sakilacustomer.org","31"
210,"Ella","Oliver","ella.oliver@sakilacustomer.org","31"
323,"Matthew","Mahan","matthew.mahan@sakilacustomer.org","31"
416,"Jeffery","Pinson","jeffery.pinson@sakilacustomer.org","31"
78,"Lori","Wood","lori.wood@sakilacustomer.org","31"
513,"Duane","Tubbs","duane.tubbs@sakilacustomer.org","31"
361,"Lawrence","Lawton","lawrence.lawton@sakilacustomer.org","31"
300,"John","Farnsworth","john.farnsworth@sakilacustomer.org","31"
157,"Darlene","Rose","darlene.rose@sakilacustomer.org","31"
103,"Gladys","Hamilton","gladys.hamilton@sakilacustomer.org","31"
340,"Patrick","Newsom","patrick.newsom@sakilacustomer.org","31"
446,"Theodore","Culp","theodore.culp@sakilacustomer.org","31"
309,"Christopher","Greco","christopher.greco@sakilacustomer.org","31"
186,"Holly","Fox","holly.fox@sakilacustomer.org","31"
27,"Shirley","Allen","shirley.allen@sakilacustomer.org","31"
260,"Christy","Vargas","christy.vargas@sakilacustomer.org","31"
56,"Gloria","Cook","gloria.cook@sakilacustomer.org","30"
87,"Wanda","Patterson","wanda.patterson@sakilacustomer.org","30"
339,"Walter","Perryman","walter.perryman@sakilacustomer.org","30"
107,"Florence","Woods","florence.woods@sakilacustomer.org","30"
112,"Rosa","Reynolds","rosa.reynolds@sakilacustomer.org","30"
484,"Roberto","Vu","roberto.vu@sakilacustomer.org","30"
444,"Marcus","Hidalgo","marcus.hidalgo@sakilacustomer.org","30"
472,"Greg","Robins","greg.robins@sakilacustomer.org","30"
560,"Jordan","Archuleta","jordan.archuleta@sakilacustomer.org","30"
347,"Ryan","Salisbury","ryan.salisbury@sakilacustomer.org","30"
289,"Violet","Rodriquez","violet.rodriquez@sakilacustomer.org","30"
307,"Joseph","Joy","joseph.joy@sakilacustomer.org","30"
334,"Raymond","Mcwhorter","raymond.mcwhorter@sakilacustomer.org","30"
418,"Jeff","East","jeff.east@sakilacustomer.org","30"
72,"Theresa","Watson","theresa.watson@sakilacustomer.org","30"
131,"Monica","Hicks","monica.hicks@sakilacustomer.org","30"
404,"Stanley","Scroggins","stanley.scroggins@sakilacustomer.org","30"
135,"Juanita","Mason","juanita.mason@sakilacustomer.org","30"
161,"Geraldine","Perkins","geraldine.perkins@sakilacustomer.org","30"
584,"Salvador","Teel","salvador.teel@sakilacustomer.org","30"
42,"Carolyn","Perez","carolyn.perez@sakilacustomer.org","30"
436,"Troy","Quigley","troy.quigley@sakilacustomer.org","30"
299,"James","Gannon","james.gannon@sakilacustomer.org","30"
115,"Wendy","Harrison","wendy.harrison@sakilacustomer.org","30"
269,"Cassandra","Walters","cassandra.walters@sakilacustomer.org","30"
108,"Tracy","Cole","tracy.cole@sakilacustomer.org","30"
408,"Manuel","Murrell","manuel.murrell@sakilacustomer.org","30"
23,"Sarah","Lewis","sarah.lewis@sakilacustomer.org","30"
256,"Mabel","Holland","mabel.holland@sakilacustomer.org","30"
296,"Ramona","Hale","ramona.hale@sakilacustomer.org","30"
154,"Michele","Grant","michele.grant@sakilacustomer.org","30"
499,"Marc","Outlaw","marc.outlaw@sakilacustomer.org","30"
275,"Carole","Barnett","carole.barnett@sakilacustomer.org","30"
336,"Joshua","Mark","joshua.mark@sakilacustomer.org","30"
388,"Craig","Morrell","craig.morrell@sakilacustomer.org","30"
53,"Heather","Morris","heather.morris@sakilacustomer.org","30"
391,"Clarence","Gamez","clarence.gamez@sakilacustomer.org","30"
71,"Kathy","James","kathy.james@sakilacustomer.org","30"
356,"Gerald","Fultz","gerald.fultz@sakilacustomer.org","30"
80,"Marilyn","Ross","marilyn.ross@sakilacustomer.org","30"
424,"Kyle","Spurlock","kyle.spurlock@sakilacustomer.org","30"
319,"Ronald","Weiner","ronald.weiner@sakilacustomer.org","30"
595,"Terrence","Gunderson","terrence.gunderson@sakilacustomer.org","30"
20,"Sharon","Robinson","sharon.robinson@sakilacustomer.org","30"
363,"Roy","Whiting","roy.whiting@sakilacustomer.org","29"
575,"Isaac","Oglesby","isaac.oglesby@sakilacustomer.org","29"
447,"Clifford","Bowens","clifford.bowens@sakilacustomer.org","29"
485,"Clyde","Tobias","clyde.tobias@sakilacustomer.org","29"
302,"Michael","Silverman","michael.silverman@sakilacustomer.org","29"
179,"Dana","Hart","dana.hart@sakilacustomer.org","29"
54,"Teresa","Rogers","teresa.rogers@sakilacustomer.org","29"
268,"Nina","Soto","nina.soto@sakilacustomer.org","29"
482,"Maurice","Crawley","maurice.crawley@sakilacustomer.org","29"
39,"Debra","Nelson","debra.nelson@sakilacustomer.org","29"
563,"Ken","Prewitt","ken.prewitt@sakilacustomer.org","29"
287,"Becky","Miles","becky.miles@sakilacustomer.org","29"
113,"Cindy","Fisher","cindy.fisher@sakilacustomer.org","29"
573,"Byron","Box","byron.box@sakilacustomer.org","29"
565,"Jaime","Nettles","jaime.nettles@sakilacustomer.org","29"
349,"Joe","Gilliland","joe.gilliland@sakilacustomer.org","29"
52,"Julie","Sanchez","julie.sanchez@sakilacustomer.org","29"
263,"Hilda","Hopkins","hilda.hopkins@sakilacustomer.org","29"
265,"Jennie","Terry","jennie.terry@sakilacustomer.org","29"
467,"Alvin","Deloach","alvin.deloach@sakilacustomer.org","29"
146,"Jamie","Rice","jamie.rice@sakilacustomer.org","29"
397,"Jimmy","Schrader","jimmy.schrader@sakilacustomer.org","29"
538,"Ted","Breaux","ted.breaux@sakilacustomer.org","29"
592,"Terrance","Roush","terrance.roush@sakilacustomer.org","29"
386,"Todd","Tan","todd.tan@sakilacustomer.org","29"
173,"Audrey","Ray","audrey.ray@sakilacustomer.org","29"
253,"Terry","Carlson","terry.carlson@sakilacustomer.org","29"
337,"Jerry","Jordon","jerry.jordon@sakilacustomer.org","29"
32,"Amy","Lopez","amy.lopez@sakilacustomer.org","29"
25,"Deborah","Walker","deborah.walker@sakilacustomer.org","29"
163,"Cathy","Spencer","cathy.spencer@sakilacustomer.org","29"
448,"Miguel","Betancourt","miguel.betancourt@sakilacustomer.org","29"
529,"Erik","Guillen","erik.guillen@sakilacustomer.org","29"
481,"Herman","Devore","herman.devore@sakilacustomer.org","29"
588,"Marion","Ocampo","marion.ocampo@sakilacustomer.org","29"
316,"Steven","Curley","steven.curley@sakilacustomer.org","29"
6,"Jennifer","Davis","jennifer.davis@sakilacustomer.org","28"
187,"Brittany","Riley","brittany.riley@sakilacustomer.org","28"
57,"Evelyn","Morgan","evelyn.morgan@sakilacustomer.org","28"
266,"Nora","Herrera","nora.herrera@sakilacustomer.org","28"
400,"Bryan","Hardison","bryan.hardison@sakilacustomer.org","28"
596,"Enrique","Forsythe","enrique.forsythe@sakilacustomer.org","28"
166,"Lynn","Payne","lynn.payne@sakilacustomer.org","28"
145,"Lucille","Holmes","lucille.holmes@sakilacustomer.org","28"
559,"Everett","Banda","everett.banda@sakilacustomer.org","28"
276,"Brandy","Graves","brandy.graves@sakilacustomer.org","28"
589,"Tracy","Herrmann","tracy.herrmann@sakilacustomer.org","28"
457,"Bill","Gavin","bill.gavin@sakilacustomer.org","28"
90,"Ruby","Washington","ruby.washington@sakilacustomer.org","28"
558,"Jimmie","Eggleston","jimmie.eggleston@sakilacustomer.org","28"
290,"Kristina","Chambers","kristina.chambers@sakilacustomer.org","28"
284,"Sonia","Gregory","sonia.gregory@sakilacustomer.org","28"
317,"Edward","Baugh","edward.baugh@sakilacustomer.org","28"
126,"Ellen","Simpson","ellen.simpson@sakilacustomer.org","28"
374,"Jeremy","Hurtado","jeremy.hurtado@sakilacustomer.org","28"
12,"Nancy","Thomas","nancy.thomas@sakilacustomer.org","28"
332,"Stephen","Qualls","stephen.qualls@sakilacustomer.org","28"
92,"Tina","Simmons","tina.simmons@sakilacustomer.org","28"
500,"Reginald","Kinder","reginald.kinder@sakilacustomer.org","28"
461,"Derek","Blakely","derek.blakely@sakilacustomer.org","28"
283,"Felicia","Sutton","felicia.sutton@sakilacustomer.org","28"
14,"Betty","White","betty.white@sakilacustomer.org","28"
497,"Gilbert","Sledge","gilbert.sledge@sakilacustomer.org","28"
441,"Mario","Cheatham","mario.cheatham@sakilacustomer.org","28"
132,"Esther","Crawford","esther.crawford@sakilacustomer.org","28"
322,"Jason","Morrissey","jason.morrissey@sakilacustomer.org","28"
262,"Patsy","Davidson","patsy.davidson@sakilacustomer.org","28"
504,"Nathaniel","Adam","nathaniel.adam@sakilacustomer.org","28"
376,"Randy","Gaither","randy.gaither@sakilacustomer.org","28"
338,"Dennis","Gilman","dennis.gilman@sakilacustomer.org","28"
77,"Jane","Bennett","jane.bennett@sakilacustomer.org","28"
515,"Andre","Rapp","andre.rapp@sakilacustomer.org","28"
574,"Julian","Vest","julian.vest@sakilacustomer.org","28"
213,"Gina","Williamson","gina.williamson@sakilacustomer.org","28"
221,"Bessie","Morrison","bessie.morrison@sakilacustomer.org","28"
16,"Sandra","Martin","sandra.martin@sakilacustomer.org","28"
49,"Joyce","Edwards","joyce.edwards@sakilacustomer.org","28"
59,"Cheryl","Murphy","cheryl.murphy@sakilacustomer.org","27"
594,"Eduardo","Hiatt","eduardo.hiatt@sakilacustomer.org","27"
40,"Amanda","Carter","amanda.carter@sakilacustomer.org","27"
407,"Dale","Ratcliff","dale.ratcliff@sakilacustomer.org","27"
331,"Eric","Robert","eric.robert@sakilacustomer.org","27"
116,"Victoria","Gibson","victoria.gibson@sakilacustomer.org","27"
58,"Jean","Bell","jean.bell@sakilacustomer.org","27"
